Timestamp,Temperature,Humidity,SoilMoisture,LightIntensity,PumpingStatus
4,25,83,36,0,0
9,25,83,35,0,0
14,25,83,36,0,0
19,25,83,35,0,0
24,25,83,35,0,0
29,25,83,36,0,0
34,25,83,35,0,0
39,25,83,36,0,0
44,25,83,35,0,0
49,25,83,35,0,0
54,25,83,36,0,0
59,25,83,35,0,0
64,25,83,35,0,0
69,25,83,35,0,0
74,25,83,35,0,0
79,25,83,35,0,0
84,25,83,35,0,0
89,25,83,35,0,0
94,26,86,35,0,0
99,25,86,36,0,0
104,25,83,36,0,0
109,25,83,35,0,0
114,25,83,35,0,0
119,25,83,35,0,0
124,25,83,35,0,0
129,25,83,35,0,0
134,25,83,35,0,0
139,25,83,35,0,0
144,25,83,35,0,0
149,25,83,35,0,0
154,25,83,35,0,0
159,25,83,36,0,0
164,25,83,36,0,0
169,25,83,36,0,0
174,25,83,36,0,0
179,25,83,35,0,0
184,25,83,36,0,0
189,25,86,36,0,0
194,25,83,36,0,0
199,25,83,36,0,0
204,25,83,36,0,0
209,25,83,36,0,0
214,25,83,35,0,0
219,25,83,35,0,0
224,25,83,36,0,0
229,25,83,36,0,0
234,25,83,35,0,0
239,25,83,35,0,0
244,25,83,35,0,0
249,25,83,36,0,0
254,25,83,36,0,0
259,25,83,36,0,0
264,25,83,35,0,0
269,25,83,35,0,0
274,25,83,36,0,0
279,25,83,35,0,0
284,25,83,36,0,0
289,25,83,35,0,0
294,25,83,36,0,0
299,25,83,35,0,0
304,25,83,36,0,0
309,25,83,36,0,0
314,25,83,35,0,0
319,25,83,36,0,0
324,25,83,35,0,0
329,25,83,36,0,0
334,25,83,36,0,0
339,25,83,36,0,0
344,25,83,36,0,0
349,25,83,37,0,0
354,25,83,36,0,0
359,25,83,36,0,0
364,25,83,36,0,0
369,25,83,36,0,0
374,25,83,35,0,0
379,25,83,35,0,0
384,25,83,36,0,0
389,25,83,36,0,0
394,25,83,36,0,0
399,25,83,36,0,0
404,25,83,35,0,0
409,25,83,36,0,0
414,25,83,36,0,0
419,25,83,35,0,0
424,25,83,35,0,0
429,25,83,35,0,0
434,25,83,36,0,0
439,25,83,36,0,0
444,25,83,35,0,0
449,25,83,35,0,0
454,25,83,36,0,0
459,25,83,36,0,0
464,25,83,36,0,0
469,25,83,36,0,0
474,25,83,35,0,0
479,25,83,36,0,0
484,25,83,36,0,0
489,25,83,35,0,0
494,25,83,36,0,0
499,25,83,36,0,0
504,25,83,35,0,0
509,25,83,36,0,0
514,25,83,36,0,0
519,25,83,35,0,0
524,25,83,36,0,0
529,25,83,36,0,0
534,25,83,36,0,0
539,25,83,35,0,0
544,25,83,36,0,0
549,25,83,36,0,0
554,25,83,35,0,0
559,25,83,35,0,0
564,25,83,36,0,0
569,25,83,36,0,0
574,25,85,36,0,0
579,25,83,36,0,0
584,25,83,36,0,0
589,25,83,36,0,0
594,25,83,36,0,0
599,25,83,36,0,0
604,25,83,36,0,0
609,25,83,36,0,0
614,25,83,36,0,0
619,25,83,36,0,0
624,25,83,36,0,0
629,25,83,36,0,0
634,25,83,36,0,0
639,25,83,36,0,0
644,25,83,37,0,0
649,25,83,37,0,0
654,25,83,37,0,0
659,25,83,37,0,0
664,25,83,37,0,0
669,25,83,36,0,0
674,25,83,37,0,0
679,25,83,36,0,0
684,25,83,37,0,0
689,25,83,38,0,0
694,25,83,37,0,0
699,25,83,37,0,0
704,25,83,37,0,0
709,25,83,36,0,0
714,25,83,37,0,0
719,25,83,37,0,0
724,25,83,36,0,0
729,25,83,37,0,0
734,25,83,37,0,0
739,25,83,36,0,0
744,25,83,36,0,0
749,25,83,35,0,0
754,25,83,35,0,0
759,25,83,35,0,0
764,25,83,36,0,0
769,25,83,36,0,0
774,25,83,36,0,0
779,25,83,35,0,0
784,25,83,35,0,0
789,25,83,36,0,0
794,25,83,36,0,0
799,25,83,35,0,0
804,25,83,35,0,0
809,25,83,35,0,0
814,25,83,36,0,0
819,25,83,36,0,0
824,25,83,36,0,0
829,25,86,36,0,0
834,25,83,36,0,0
839,25,83,37,0,0
844,25,83,36,0,0
849,25,83,36,0,0
854,25,83,36,0,0
859,25,83,36,0,0
864,25,83,36,0,0
869,25,83,36,0,0
874,25,83,36,0,0
879,25,83,36,0,0
884,25,83,36,0,0
889,25,83,36,0,0
894,25,86,36,0,0
899,25,83,36,0,0
904,25,83,36,0,0
909,25,83,36,0,0
914,25,83,36,0,0
919,25,83,36,0,0
924,25,83,36,0,0
929,25,83,36,0,0
934,25,83,35,0,0
939,25,83,36,0,0
944,25,83,36,0,0
949,25,83,36,0,0
954,25,83,36,0,0
959,25,83,36,0,0
964,25,83,36,0,0
969,25,83,36,0,0
974,25,83,36,0,0
979,25,83,36,0,0
984,25,83,36,0,0
989,25,83,35,0,0
994,25,83,36,0,0
999,25,83,36,0,0
1004,25,83,36,0,0
1009,26,83,36,0,0
1014,25,83,36,0,0
1019,25,83,36,0,0
1024,25,83,36,0,0
1029,25,83,36,0,0
1034,25,83,36,0,0
1039,25,83,36,0,0
1044,25,83,36,0,0
1049,25,83,37,0,0
1054,25,83,37,0,0
1059,25,83,36,0,0
1064,25,83,36,0,0
1069,25,83,36,0,0
1074,25,83,36,0,0
1079,25,83,36,0,0
1084,25,83,36,0,0
1089,25,83,36,0,0
1094,25,83,37,0,0
1099,25,83,36,0,0
1106,25,83,36,0,0
1109,25,83,36,0,0
1114,25,83,36,0,0
1119,25,83,36,0,0
1124,25,83,36,0,0
1129,25,83,36,0,0
1135,25,83,36,0,0
1139,25,83,36,0,0
1144,25,83,36,0,0
1149,25,85,36,0,0
1154,25,83,35,0,0
1159,25,83,36,0,0
1164,25,83,36,0,0
1169,25,83,36,0,0
1174,25,83,36,0,0
1179,25,83,36,0,0
1184,25,83,36,0,0
1189,25,83,36,0,0
1194,25,83,36,0,0
1199,25,83,35,0,0
1204,25,83,35,0,0
1209,25,83,35,0,0
1214,25,86,35,0,0
1220,25,83,35,0,0
1224,25,83,36,0,0
1230,25,83,35,0,0
1234,25,83,36,0,0
1239,25,83,35,0,0
1244,25,83,33,0,0
1249,25,83,34,0,0
1254,26,83,35,0,0
1259,25,83,37,0,0
1264,25,83,36,0,0
1269,25,85,36,0,0
1274,25,85,36,0,0
1279,25,85,36,0,0
1284,25,85,37,0,0
1289,25,85,37,0,0
1294,25,85,36,0,0
1300,25,85,34,0,0
1304,25,85,34,0,0
1309,25,83,35,0,0
1314,25,85,35,0,0
1319,25,85,34,0,0
1324,25,85,35,0,0
1329,25,85,35,0,0
1334,25,85,35,0,0
1339,25,85,35,0,0
1344,25,85,35,0,0
1349,25,85,35,0,0
1354,25,85,36,0,0
1360,25,85,36,0,0
1364,25,85,36,0,0
1369,25,85,36,0,0
1374,25,85,36,0,0
1379,25,85,35,0,0
1384,25,85,36,0,0
1389,25,85,35,0,0
1394,25,85,36,0,0
1399,25,85,36,0,0
1404,25,85,36,0,0
1409,25,85,36,0,0
1414,25,85,36,0,0
1419,25,85,37,0,0
1424,25,85,36,0,0
1429,25,85,36,0,0
1434,25,85,36,0,0
1439,25,86,36,0,0
1444,25,86,36,0,0
1449,25,85,36,0,0
1454,25,85,35,0,0
1459,25,86,35,0,0
1464,25,86,36,0,0
1469,25,86,36,0,0
1474,25,86,36,0,0
1479,25,86,36,0,0
1484,25,86,36,0,0
1489,25,86,36,0,0
1494,25,86,36,0,0
1499,25,86,36,0,0
1504,25,86,36,0,0
1509,25,86,36,0,0
1514,25,86,36,0,0
1519,25,86,35,0,0
1524,25,86,35,0,0
1529,25,86,36,0,0
1534,25,86,36,0,0
1539,25,86,36,0,0
1544,25,86,36,0,0
1549,25,86,35,0,0
1554,25,86,34,0,0
1559,25,86,34,0,0
1565,25,86,35,0,0
1569,25,86,39,0,0
1574,25,86,37,0,0
1579,25,86,37,0,0
1584,25,86,38,0,0
1589,25,86,39,0,0
1594,25,86,39,0,0
1599,25,86,37,0,0
1604,25,86,37,0,0
1609,25,86,38,0,0
1614,25,86,36,0,0
1619,25,86,37,0,0
1624,25,86,37,0,0
1630,25,86,37,0,0
1634,25,86,38,0,0
1639,25,86,38,0,0
1644,25,86,37,0,0
1649,25,86,37,0,0
1654,25,86,38,0,0
1659,25,86,38,0,0
1664,25,86,38,0,0
1669,25,86,38,0,0
1674,25,86,37,0,0
1679,25,86,37,0,0
1684,25,86,38,0,0
1689,25,86,38,0,0
1694,25,86,38,0,0
1699,25,85,38,0,0
1704,25,85,37,0,0
1709,25,85,37,0,0
1714,25,85,38,0,0
1719,25,85,37,0,0
1725,25,85,37,0,0
1729,25,85,38,0,0
1734,25,85,38,0,0
1739,25,85,38,0,0
1744,25,86,37,0,0
1749,25,86,38,0,0
1755,25,86,38,0,0
1759,25,86,38,0,0
1764,25,86,38,0,0
1769,25,86,38,0,0
1774,25,86,38,0,0
1780,25,86,38,0,0
1785,25,86,39,0,0
1789,25,86,38,0,0
1794,25,86,38,0,0
1799,25,86,38,0,0
1804,25,86,37,0,0
1809,25,86,38,0,0
1815,25,86,37,0,0
1819,25,86,38,0,0
1824,25,86,37,0,0
1829,25,86,38,0,0
1835,25,86,37,0,0
1841,25,86,38,0,0
1846,25,86,37,0,0
1851,25,86,37,0,0
1856,25,86,37,0,0
1861,25,86,37,0,0
1866,25,86,38,0,0
1871,25,86,37,0,0
1876,25,86,38,0,0
1881,25,86,37,0,0
1886,25,86,37,0,0
1891,25,86,37,0,0
1896,25,86,37,0,0
1901,25,86,37,0,0
1906,25,86,37,0,0
1911,25,86,38,0,0
1916,25,86,37,0,0
1921,25,86,37,0,0
1926,25,86,37,0,0
1932,25,86,37,0,0
1936,25,86,37,0,0
1941,25,86,37,0,0
1946,25,86,38,0,0
1951,25,86,37,0,0
1956,25,86,37,0,0
1961,25,86,37,0,0
1966,25,85,38,0,0
1971,25,85,37,0,0
1976,25,85,37,0,0
1981,25,85,37,0,0
1986,25,85,36,0,0
1991,25,85,37,0,0
1996,25,86,36,0,0
2001,25,86,36,0,0
2006,25,86,36,0,0
2011,25,86,36,0,0
2016,25,86,36,0,0
2021,25,86,37,0,0
2026,25,86,37,0,0
2031,25,86,37,0,0
2036,25,86,37,0,0
2041,25,86,37,0,0
2046,25,86,37,0,0
2051,25,86,35,0,0
2056,25,86,35,0,0
2061,25,86,36,0,0
2066,25,86,35,0,0
2071,25,86,35,0,0
2076,25,86,35,0,0
2081,25,86,35,0,0
2086,25,86,35,0,0
2091,25,86,35,0,0
2096,25,86,35,0,0
2101,25,86,34,0,0
2106,25,86,36,0,0
2111,25,83,35,0,0
2116,25,86,36,0,0
2121,25,86,35,0,0
2126,25,86,35,0,0
2131,25,86,35,0,0
2136,25,86,35,0,0
2141,25,86,35,0,0
2146,25,86,34,0,0
2151,25,86,35,0,0
2156,25,86,34,0,0
2161,25,86,35,0,0
2166,25,86,35,0,0
2171,25,86,35,0,0
2176,25,83,34,0,0
2181,25,86,35,0,0
2186,25,86,34,0,0
2191,25,86,35,0,0
2196,25,86,34,0,0
2201,25,86,35,0,0
2206,25,86,34,0,0
2211,25,86,34,0,0
2216,25,86,35,0,0
2221,25,86,34,0,0
2226,25,86,34,0,0
2231,25,86,35,0,0
2236,25,86,34,0,0
2241,25,86,34,0,0
2246,25,86,34,0,0
2251,25,86,34,0,0
2256,25,86,35,0,0
2261,25,86,35,0,0
2266,25,86,34,0,0
2271,25,86,35,0,0
2276,25,86,35,0,0
2281,25,86,34,0,0
2286,25,86,35,0,0
2291,25,86,34,0,0
2296,25,86,35,0,0
2301,25,86,35,0,0
2306,25,86,35,0,0
