Timestamp,Temperature,Humidity,SoilMoisture,LightIntensity,PumpingStatus
0,25,93,53,0,0
5,26,93,53,0,0
10,25,93,52,0,0
15,25,93,53,0,0
20,25,93,53,0,0
25,25,93,53,0,0
30,25,93,53,0,0
35,25,93,52,0,0
40,25,93,52,0,0
45,25,93,52,0,0
50,25,93,52,0,0
55,25,93,53,0,0
60,25,93,53,0,0
65,25,93,53,0,0
70,25,93,53,0,0
75,25,93,52,0,0
80,25,93,52,0,0
85,25,93,53,0,0
90,25,93,52,0,0
95,25,93,53,0,0
100,25,93,53,0,0
105,25,93,53,0,0
110,25,93,52,0,0
115,25,93,53,0,0
120,25,93,52,0,0
125,25,93,53,0,0
130,25,93,53,0,0
135,25,93,53,0,0
140,25,93,53,0,0
145,25,93,53,0,0
149,25,93,52,0,0
155,25,93,53,0,0
160,25,93,53,0,0
165,25,93,53,0,0
170,25,93,53,0,0
175,25,93,53,0,0
180,25,93,53,0,0
185,25,93,53,0,0
190,25,93,53,0,0
195,25,93,52,0,0
200,25,93,53,0,0
205,25,93,53,0,0
210,25,93,53,0,0
215,25,93,53,0,0
220,25,93,53,0,0
225,25,93,52,0,0
230,25,93,53,0,0
235,25,93,53,0,0
240,25,93,53,0,0
245,25,93,52,0,0
251,25,93,53,0,0
255,25,93,53,0,0
260,25,93,53,0,0
265,25,93,53,0,0
270,25,93,53,0,0
275,25,93,53,0,0
280,25,93,53,0,0
285,25,93,52,0,0
290,25,93,53,0,0
295,25,93,53,0,0
300,25,93,53,0,0
305,25,93,53,0,0
310,25,93,53,0,0
315,25,93,53,0,0
320,25,93,53,0,0
325,25,93,53,0,0
330,25,93,53,0,0
335,25,93,52,0,0
340,25,93,53,0,0
345,25,93,52,0,0
350,25,93,53,0,0
355,25,93,53,0,0
360,25,93,53,0,0
365,25,93,53,0,0
370,25,93,53,0,0
375,25,93,52,0,0
379,25,93,53,0,0
385,25,93,53,0,0
390,25,93,53,0,0
395,25,93,53,0,0
400,25,93,53,0,0
405,25,93,53,0,0
410,25,93,53,0,0
415,25,93,53,0,0
420,25,93,53,0,0
425,25,93,53,0,0
430,25,93,53,0,0
435,25,93,53,0,0
440,25,93,53,0,0
445,25,93,53,0,0
450,25,93,53,0,0
455,25,93,53,0,0
460,25,93,53,0,0
465,25,93,53,0,0
470,25,93,52,0,0
475,25,93,53,0,0
480,25,93,53,0,0
485,25,93,52,0,0
490,25,93,53,0,0
495,25,93,52,0,0
500,25,93,53,0,0
505,25,93,53,0,0
510,25,93,52,0,0
515,25,93,53,0,0
519,25,93,53,0,0
525,25,93,52,0,0
530,25,93,53,0,0
535,25,93,53,0,0
540,25,93,52,0,0
545,25,93,53,0,0
550,25,93,53,0,0
555,25,93,53,0,0
560,25,93,53,0,0
565,25,93,52,0,0
570,25,93,52,0,0
575,25,93,53,0,0
580,26,93,52,0,0
585,25,93,52,0,0
590,25,93,53,0,0
595,25,93,53,0,0
600,25,93,53,0,0
605,25,93,53,0,0
610,25,93,53,0,0
615,25,93,53,0,0
620,25,93,53,0,0
625,25,93,53,0,0
630,25,93,52,0,0
635,25,93,53,0,0
640,25,93,52,0,0
645,26,93,53,0,0
650,25,93,53,0,0
655,25,93,52,0,0
660,25,93,52,0,0
665,25,93,52,0,0
670,25,93,52,0,0
675,25,93,53,0,0
680,25,93,52,0,0
685,25,93,52,0,0
690,25,93,53,0,0
695,25,93,53,0,0
700,25,93,53,0,0
705,25,93,52,0,0
710,25,93,52,0,0
715,25,93,52,0,0
720,25,93,52,0,0
725,25,93,53,0,0
730,25,93,53,0,0
734,25,93,53,0,0
740,25,93,53,0,0
745,25,93,52,0,0
750,25,93,53,0,0
755,25,93,53,0,0
760,25,93,52,0,0
765,25,93,53,0,0
770,25,93,53,0,0
775,25,93,52,0,0
780,25,93,53,0,0
785,25,93,53,0,0
790,25,93,52,0,0
795,25,93,53,0,0
800,25,93,53,0,0
805,25,93,53,0,0
810,25,93,53,0,0
815,25,93,53,0,0
820,25,93,53,0,0
825,25,93,53,0,0
830,25,93,52,0,0
835,25,93,52,0,0
840,25,93,52,0,0
845,25,93,53,0,0
850,25,93,53,0,0
855,25,93,53,0,0
860,25,93,53,0,0
865,25,93,53,0,0
870,25,93,53,0,0
875,25,93,53,0,0
880,25,93,53,0,0
885,25,93,53,0,0
890,25,93,53,0,0
895,25,93,52,0,0
900,25,93,53,0,0
905,25,93,52,0,0
910,25,93,53,0,0
915,25,93,53,0,0
920,25,93,53,0,0
925,25,93,53,0,0
930,25,93,53,0,0
935,25,93,53,0,0
940,25,93,52,0,0
945,25,93,53,0,0
949,25,93,52,0,0
955,25,93,53,0,0
960,25,93,52,0,0
965,26,93,53,0,0
970,25,93,53,0,0
975,25,93,52,0,0
980,25,93,53,0,0
985,25,93,53,0,0
990,25,93,53,0,0
995,25,93,52,0,0
1000,25,93,52,0,0
1005,25,93,53,0,0
1010,25,93,53,0,0
1015,25,93,53,0,0
1020,25,93,52,0,0
1025,25,93,52,0,0
1030,25,93,53,0,0
1035,25,93,52,0,0
1040,25,93,53,0,0
1045,25,93,52,0,0
1050,25,93,52,0,0
1055,25,93,53,0,0
1060,25,93,53,0,0
1065,25,93,53,0,0
1070,25,93,53,0,0
1075,25,93,52,0,0
1080,25,93,52,0,0
1085,25,93,53,0,0
1090,25,93,53,0,0
1095,25,93,53,0,0
1100,25,93,53,0,0
1105,25,93,53,0,0
1110,25,93,53,0,0
1115,25,93,52,0,0
1120,25,93,52,0,0
1125,25,93,52,0,0
1130,25,93,53,0,0
1135,25,93,52,0,0
1140,25,93,52,0,0
1145,25,93,52,0,0
1150,25,93,52,0,0
1155,25,93,52,0,0
1160,25,93,52,0,0
1165,25,93,52,0,0
1170,25,93,52,0,0
1175,25,93,52,0,0
1180,25,93,52,0,0
1185,25,93,52,0,0
1190,25,93,52,0,0
1195,25,93,52,0,0
1200,25,93,52,0,0
1205,25,93,52,0,0
1210,25,93,52,0,0
1215,25,93,52,0,0
1220,25,93,52,0,0
1225,25,93,52,0,0
1230,25,93,52,0,0
1235,25,93,52,0,0
1240,25,93,52,0,0
1245,25,93,52,0,0
1250,25,93,52,0,0
1255,25,93,52,0,0
1260,25,93,52,0,0
1265,25,93,52,0,0
1270,25,93,52,0,0
1275,25,93,52,0,0
1280,25,93,52,0,0
1285,25,93,52,0,0
1290,25,93,52,0,0
1295,25,93,52,0,0
1300,25,93,52,0,0
1305,25,93,53,0,0
1310,25,93,53,0,0
1315,25,93,52,0,0
1320,25,93,52,0,0
1325,25,93,52,0,0
1330,25,93,53,0,0
1335,25,93,53,0,0
1340,25,93,53,0,0
1345,25,93,53,0,0
1350,25,93,53,0,0
1355,25,93,53,0,0
1360,25,93,53,0,0
1365,25,93,52,0,0
1370,25,93,53,0,0
1375,25,93,53,0,0
1380,25,93,53,0,0
1385,25,93,53,0,0
1390,25,93,53,0,0
1395,25,93,53,0,0
1400,25,93,53,0,0
1412,25,93,53,0,0
1413,25,93,53,0,0
1418,25,93,53,0,0
1423,25,93,52,0,0
1428,25,93,53,0,0
1433,25,93,53,0,0
1438,25,93,53,0,0
1443,25,93,53,0,0
1448,25,93,53,0,0
1453,25,93,53,0,0
1458,25,93,53,0,0
1463,25,93,53,0,0
1468,25,93,53,0,0
1473,25,93,53,0,0
1478,25,93,53,0,0
1483,25,93,53,0,0
1488,25,93,53,0,0
1493,25,93,53,0,0
1498,25,93,53,0,0
1503,25,93,53,0,0
1508,25,93,53,0,0
1513,25,93,53,0,0
1518,25,93,53,0,0
1523,25,93,53,0,0
1528,25,93,53,0,0
1533,25,93,53,0,0
1538,25,93,53,0,0
1543,25,93,52,0,0
1548,25,93,53,0,0
1553,25,93,53,0,0
1558,25,93,53,0,0
1563,25,93,52,0,0
1568,25,93,53,0,0
1573,25,93,53,0,0
1578,25,93,53,0,0
1583,25,93,53,0,0
1588,25,93,53,0,0
1593,25,93,53,0,0
1598,25,93,53,0,0
1603,25,93,53,0,0
1608,25,93,53,0,0
1613,25,93,53,0,0
1618,25,93,53,0,0
1623,25,93,53,0,0
1628,25,93,53,0,0
1633,25,93,52,0,0
1638,25,93,53,0,0
1643,25,93,53,0,0
1648,25,93,53,0,0
1653,25,93,52,0,0
1658,25,93,53,0,0
1663,25,93,53,0,0
1668,25,93,53,0,0
1673,25,93,53,0,0
1678,25,93,53,0,0
1683,25,93,53,0,0
1688,25,93,53,0,0
1693,25,93,53,0,0
1698,25,93,53,0,0
1705,25,93,53,0,0
1710,25,93,53,0,0
1715,25,93,52,0,0
1720,25,93,53,0,0
1725,25,93,53,0,0
1730,25,93,52,0,0
1735,25,93,52,0,0
1740,25,93,52,0,0
1745,25,93,53,0,0
1750,25,93,53,0,0
1755,25,93,53,0,0
1760,25,93,52,0,0
1765,25,93,53,0,0
1770,25,93,52,0,0
1775,25,93,52,0,0
1780,25,93,53,0,0
1785,25,93,53,0,0
1790,25,93,52,0,0
1795,25,93,53,0,0
1800,25,93,53,0,0
1805,25,93,53,0,0
1810,25,93,53,0,0
1815,25,93,53,0,0
1820,25,93,52,0,0
1825,25,93,52,0,0
1830,25,93,52,0,0
1835,25,93,52,0,0
1840,25,93,53,0,0
1845,25,93,52,0,0
1850,25,93,53,0,0
1855,25,93,53,0,0
1860,25,93,53,0,0
1865,25,93,53,0,0
1870,25,93,52,0,0
1875,25,93,53,0,0
1880,25,93,53,0,0
1885,25,93,53,0,0
1890,25,93,53,0,0
1895,25,93,52,0,0
1900,25,93,53,0,0
1905,25,93,53,0,0
1910,25,93,53,0,0
1915,25,93,53,0,0
1920,25,93,52,0,0
1925,25,93,52,0,0
1930,26,93,52,0,0
1935,25,93,52,0,0
1940,25,93,53,0,0
1945,25,93,52,0,0
1950,25,93,52,0,0
1955,25,93,52,0,0
1960,25,93,52,0,0
1965,25,93,52,0,0
1970,25,93,52,0,0
1975,25,93,52,0,0
1980,25,93,52,0,0
1985,25,93,52,0,0
1990,25,93,52,0,0
1995,25,93,52,0,0
2000,25,93,52,0,0
2005,25,93,52,0,0
2010,25,93,52,0,0
2015,25,93,52,0,0
2020,25,93,52,0,0
2025,25,93,52,0,0
2030,25,93,52,0,0
2035,25,93,53,0,0
2040,25,93,52,0,0
2045,25,93,53,0,0
2050,25,93,52,0,0
2055,25,93,52,0,0
2060,25,93,52,0,0
2065,25,93,52,0,0
2070,25,93,52,0,0
2075,25,93,52,0,0
2080,25,93,52,0,0
2085,25,93,52,0,0
2090,25,93,52,0,0
2095,25,93,52,0,0
2100,25,93,52,0,0
2105,25,93,52,0,0
2110,25,93,53,0,0
2115,25,93,52,0,0
2120,25,93,53,0,0
2125,25,93,52,0,0
2130,25,93,52,0,0
2135,25,93,52,0,0
2140,25,93,52,0,0
2145,25,93,52,0,0
2150,25,93,52,0,0
2155,25,93,52,0,0
2160,25,93,53,0,0
2165,25,93,52,0,0
2170,25,93,52,0,0
2175,25,93,52,0,0
2180,25,93,52,0,0
2185,26,93,52,0,0
2190,25,93,52,0,0
2195,25,93,52,0,0
2200,25,93,52,0,0
2205,25,93,52,0,0
2210,25,93,52,0,0
2215,25,93,53,0,0
2220,25,93,52,0,0
2225,25,93,52,0,0
2230,25,93,52,0,0
2235,25,93,52,0,0
2240,25,93,53,0,0
2245,25,93,52,0,0
2250,26,93,52,0,0
2255,25,93,52,0,0
2260,25,93,52,0,0
2265,25,93,52,0,0
2270,25,93,53,0,0
2275,26,93,53,0,0
2280,25,93,52,0,0
2285,25,93,52,0,0
2290,25,93,52,0,0
2295,25,93,52,0,0
2300,25,93,52,0,0
2305,25,93,53,0,0
2310,25,93,52,0,0
2315,25,93,52,0,0
2320,25,93,52,0,0
2325,25,93,52,0,0
2330,25,93,52,0,0
2335,25,93,52,0,0
2340,25,93,52,0,0
2345,25,93,53,0,0
2350,25,93,52,0,0
2355,25,93,52,0,0
2360,25,93,52,0,0
2365,25,93,52,0,0
2370,25,93,52,0,0
2375,25,93,53,0,0
2380,25,93,52,0,0
2385,25,93,52,0,0
2390,25,93,52,0,0
2395,25,93,53,0,0
2400,25,93,52,0,0
2405,25,93,52,0,0
2410,25,93,52,0,0
2415,25,93,53,0,0
2420,25,93,52,0,0
2425,25,93,52,0,0
2430,25,93,52,0,0
2435,25,93,52,0,0
2440,25,93,52,0,0
2445,25,93,53,0,0
2450,25,93,52,0,0
2455,25,93,52,0,0
2460,25,93,53,0,0
2465,25,93,53,0,0
2470,25,93,52,0,0
2475,25,93,52,0,0
2480,25,93,52,0,0
2485,25,93,52,0,0
2490,25,93,53,0,0
2495,25,93,52,0,0
2500,25,93,52,0,0
2505,26,93,52,0,0
2510,25,93,52,0,0
2515,25,93,52,0,0
2520,25,93,52,0,0
2525,25,93,53,0,0
2540,25,93,53,0,0
2543,25,93,52,0,0
2548,25,93,53,0,0
2553,25,93,53,0,0
2558,25,93,53,0,0
2563,25,93,52,0,0
2568,26,93,52,0,0
2573,25,93,52,0,0
2578,25,93,53,0,0
2583,25,93,52,0,0
2588,25,93,52,0,0
2593,25,93,53,0,0
2598,25,93,52,0,0
2603,25,93,52,0,0
2608,25,93,53,0,0
2613,25,93,53,0,0
2618,25,93,53,0,0
2623,25,93,53,0,0
2628,25,93,53,0,0
2633,25,93,53,0,0
2638,25,93,52,0,0
2643,25,93,52,0,0
2648,25,93,52,0,0
2653,25,93,53,0,0
2658,25,93,53,0,0
2663,25,93,52,0,0
2668,25,93,52,0,0
2673,25,93,52,0,0
2678,25,93,52,0,0
2683,25,93,52,0,0
2688,25,93,52,0,0
2693,25,93,53,0,0
2698,25,93,52,0,0
2703,25,93,52,0,0
2708,25,93,52,0,0
2713,25,93,52,0,0
2718,25,93,52,0,0
2723,25,93,52,0,0
2728,25,93,52,0,0
2733,25,93,52,0,0
2738,25,93,52,0,0
2743,25,93,52,0,0
2748,25,93,52,0,0
2753,25,93,52,0,0
2758,25,93,52,0,0
2763,25,93,52,0,0
2768,25,93,52,0,0
2773,25,93,52,0,0
2778,25,93,52,0,0
2783,25,93,52,0,0
2788,25,93,52,0,0
2793,25,93,52,0,0
2798,25,93,52,0,0
2803,25,93,52,0,0
2808,25,93,52,0,0
2813,25,93,52,0,0
2818,25,93,52,0,0
2823,26,93,52,0,0
2828,25,93,52,0,0
2833,25,93,52,0,0
2838,25,93,52,0,0
2843,25,93,52,0,0
2848,25,93,52,0,0
2853,25,93,53,0,0
2858,25,93,53,0,0
2863,25,93,52,0,0
2868,25,93,52,0,0
2873,25,93,53,0,0
2878,25,93,52,0,0
2883,25,93,52,0,0
2888,25,93,52,0,0
2893,25,93,52,0,0
2898,25,93,52,0,0
2903,25,93,52,0,0
2908,25,93,52,0,0
2913,25,93,53,0,0
2918,25,93,53,0,0
2923,25,93,53,0,0
2929,25,93,52,0,0
2933,25,93,52,0,0
2938,25,93,52,0,0
2943,25,93,52,0,0
2948,25,93,52,0,0
2953,25,93,52,0,0
2958,25,93,53,0,0
2963,25,93,52,0,0
