Timestamp,Temperature,Humidity,SoilMoisture,LightIntensity,PumpingStatus
2,26,81,49,0,0
7,26,81,50,0,0
12,26,81,49,0,0
17,27,80,49,0,0
22,26,81,49,0,0
27,26,81,49,0,0
31,26,81,49,0,0
37,26,81,49,0,0
42,26,81,49,0,0
47,26,81,49,0,0
52,26,81,49,0,0
57,26,81,49,0,0
62,26,81,50,0,0
67,26,81,50,0,0
72,26,81,50,0,0
77,26,81,49,0,0
82,26,81,49,0,0
87,26,81,49,0,0
92,26,81,49,0,0
97,26,81,49,0,0
102,26,81,49,0,0
107,26,81,49,0,0
112,26,81,50,0,0
117,26,81,49,0,0
122,26,81,48,0,0
127,26,81,49,0,0
132,26,81,49,0,0
137,26,81,50,0,0
142,26,81,49,0,0
147,26,81,49,0,0
152,26,81,49,0,0
158,26,81,49,0,0
162,26,81,48,0,0
167,26,81,50,0,0
172,26,81,49,0,0
177,26,81,49,0,0
182,26,81,48,0,0
187,26,81,50,0,0
192,26,81,47,0,0
197,26,81,49,0,0
202,26,81,49,0,0
207,26,81,50,0,0
212,26,81,49,0,0
217,26,81,49,0,0
222,26,81,50,0,0
227,26,81,49,0,0
232,26,81,49,0,0
237,26,81,47,0,0
242,26,81,47,0,0
247,26,81,48,0,0
252,26,81,49,0,0
257,26,81,50,0,0
262,26,81,49,0,0
267,26,81,48,0,0
272,26,81,49,0,0
277,26,81,49,0,0
282,26,81,50,0,0
287,26,81,49,0,0
292,26,81,49,0,0
297,26,81,49,0,0
302,26,81,48,0,0
307,26,81,48,0,0
312,26,81,49,0,0
317,26,81,48,0,0
322,26,81,47,0,0
327,26,81,49,0,0
332,26,81,49,0,0
337,26,81,49,0,0
342,26,81,49,0,0
347,26,81,48,0,0
352,26,81,47,0,0
357,26,81,49,0,0
362,26,81,49,0,0
367,26,81,49,0,0
372,26,81,48,0,0
377,26,82,49,0,0
382,26,81,50,0,0
387,26,81,49,0,0
392,26,81,48,0,0
397,26,81,48,0,0
402,26,81,49,0,0
407,26,81,50,0,0
412,26,81,49,0,0
417,26,81,48,0,0
422,26,81,48,0,0
427,26,81,49,0,0
432,26,82,50,0,0
437,26,82,50,0,0
442,26,82,49,0,0
447,26,82,49,0,0
452,26,82,50,0,0
457,26,82,49,0,0
462,26,82,47,0,0
467,26,82,49,0,0
472,26,82,49,0,0
477,26,82,50,0,0
482,26,82,50,0,0
487,26,82,49,0,0
492,26,82,49,0,0
497,26,82,49,0,0
502,26,82,49,0,0
507,26,82,48,0,0
512,26,82,47,0,0
517,26,82,49,0,0
522,26,82,50,0,0
527,27,81,49,0,0
532,26,82,47,0,0
537,26,82,49,0,0
542,26,82,50,0,0
547,26,82,49,0,0
552,26,82,47,0,0
557,26,82,49,0,0
562,26,82,49,0,0
567,26,82,49,0,0
572,26,82,47,0,0
577,26,82,49,0,0
582,26,82,50,0,0
587,26,82,48,0,0
592,26,82,49,0,0
597,26,81,48,0,0
602,26,81,50,0,0
607,26,81,48,0,0
612,26,82,50,0,0
617,26,81,48,0,0
622,26,82,49,0,0
627,26,82,49,0,0
632,26,82,49,0,0
637,26,82,49,0,0
642,26,82,47,0,0
647,26,82,49,0,0
652,26,82,49,0,0
657,26,82,48,0,0
662,26,82,49,0,0
667,26,82,49,0,0
672,26,82,49,0,0
677,26,82,47,0,0
682,26,82,49,0,0
687,26,82,50,0,0
692,26,82,48,0,0
697,26,83,48,0,0
702,26,82,49,0,0
707,26,82,50,0,0
712,26,82,48,0,0
717,26,82,49,0,0
722,26,82,49,0,0
727,26,82,47,0,0
732,26,82,50,0,0
737,26,82,48,0,0
742,26,82,49,0,0
747,26,82,50,0,0
752,26,82,49,0,0
757,26,82,49,0,0
762,26,82,49,0,0
767,26,82,49,0,0
772,26,82,48,0,0
777,26,82,48,0,0
782,26,82,47,0,0
787,26,82,49,0,0
792,26,82,49,0,0
797,26,82,49,0,0
802,26,82,47,0,0
807,26,82,49,0,0
812,26,82,49,0,0
817,26,82,48,0,0
822,26,82,49,0,0
827,26,82,50,0,0
832,26,82,49,0,0
837,26,82,48,0,0
842,26,82,47,0,0
847,26,82,49,0,0
852,26,82,49,0,0
857,26,82,49,0,0
862,26,82,49,0,0
867,26,82,47,0,0
872,26,82,48,0,0
877,26,82,49,0,0
882,26,82,49,0,0
887,26,82,49,0,0
892,26,82,49,0,0
897,26,82,49,0,0
902,26,82,49,0,0
907,26,82,49,0,0
912,26,82,48,0,0
917,26,82,49,0,0
922,26,82,49,0,0
927,26,82,50,0,0
932,26,82,50,0,0
937,26,82,49,0,0
942,26,82,48,0,0
947,26,82,48,0,0
952,26,82,49,0,0
957,26,82,49,0,0
962,26,82,49,0,0
967,26,82,47,0,0
972,26,82,49,0,0
977,26,82,49,0,0
982,26,82,48,0,0
987,26,82,47,0,0
992,26,82,49,0,0
997,26,82,49,0,0
1002,26,82,49,0,0
1007,26,82,50,0,0
1012,26,82,50,0,0
1017,26,82,49,0,0
1022,26,82,49,0,0
1027,26,82,48,0,0
1032,26,82,49,0,0
1037,26,82,49,0,0
1042,26,82,50,0,0
1047,26,82,49,0,0
1052,26,82,49,0,0
1057,26,82,47,0,0
1062,26,82,48,0,0
1067,26,82,48,0,0
1072,26,82,50,0,0
1077,26,82,49,0,0
1082,26,82,49,0,0
1087,26,82,49,0,0
1092,26,82,48,0,0
1097,26,82,48,0,0
1102,26,82,48,0,0
1107,26,82,47,0,0
1112,26,82,47,0,0
1117,26,82,48,0,0
1122,26,82,49,0,0
1127,26,82,50,0,0
1132,26,82,49,0,0
1137,26,82,49,0,0
1142,26,82,48,0,0
1147,26,82,48,0,0
1152,26,82,47,0,0
1157,26,82,49,0,0
1162,26,82,49,0,0
1167,27,81,49,0,0
1172,26,82,49,0,0
1177,26,82,49,0,0
1182,26,82,49,0,0
1187,26,82,47,0,0
1192,26,82,48,0,0
1197,26,82,49,0,0
1202,26,82,49,0,0
1207,26,82,48,0,0
1212,26,82,50,0,0
1217,26,82,49,0,0
1222,26,82,48,0,0
1227,26,82,49,0,0
1232,26,82,50,0,0
1237,26,82,49,0,0
1242,26,82,48,0,0
1247,26,82,48,0,0
1252,26,82,49,0,0
1257,26,82,48,0,0
1262,26,82,49,0,0
1267,26,82,48,0,0
1272,26,82,49,0,0
1277,26,82,48,0,0
1282,26,82,49,0,0
1287,26,82,50,0,0
1292,26,82,48,0,0
1297,26,82,49,0,0
1302,26,82,49,0,0
1307,26,82,49,0,0
1312,26,82,49,0,0
1317,26,82,47,0,0
1322,26,82,50,0,0
1327,26,82,48,0,0
1332,26,82,49,0,0
1337,26,83,48,0,0
1342,26,82,50,0,0
1347,26,82,49,0,0
1352,26,82,48,0,0
1357,26,82,49,0,0
1362,26,82,49,0,0
1367,26,82,47,0,0
1373,26,82,48,0,0
1377,26,82,48,0,0
1382,26,82,48,0,0
1387,26,82,48,0,0
1392,26,82,49,0,0
1397,26,82,50,0,0
1402,26,82,50,0,0
1407,26,82,49,0,0
1412,26,82,49,0,0
1417,26,82,49,0,0
1422,26,82,48,0,0
1427,26,82,47,0,0
1432,26,81,48,0,0
1437,26,81,48,0,0
1442,26,81,48,0,0
1447,26,81,50,0,0
1452,26,81,50,0,0
1457,26,81,49,0,0
1462,26,81,50,0,0
1467,26,81,48,0,0
1472,26,81,50,0,0
1477,26,81,48,0,0
1482,26,82,48,0,0
1487,26,81,48,0,0
1492,26,82,48,0,0
1497,26,82,50,0,0
1502,26,82,49,0,0
1507,26,82,48,0,0
1512,26,82,48,0,0
1517,26,82,48,0,0
1522,26,82,48,0,0
1527,26,82,48,0,0
1532,26,81,50,0,0
1537,26,82,50,0,0
1542,26,82,50,0,0
1547,26,82,50,0,0
1552,27,81,49,0,0
1557,26,82,48,0,0
1562,26,82,49,0,0
1567,26,82,48,0,0
1572,26,82,47,0,0
1577,26,82,47,0,0
1582,26,82,48,0,0
1587,26,82,48,0,0
1592,26,82,48,0,0
1597,26,82,50,0,0
1602,26,82,49,0,0
1607,26,82,48,0,0
1612,26,82,49,0,0
1617,26,82,48,0,0
1622,26,82,50,0,0
1627,26,81,49,0,0
1632,26,82,49,0,0
1637,26,82,49,0,0
1642,26,82,50,0,0
1647,26,82,49,0,0
1652,26,82,49,0,0
1657,26,81,49,0,0
1662,26,82,49,0,0
1667,26,81,49,0,0
1672,26,81,49,0,0
1677,26,82,49,0,0
1682,26,82,48,0,0
1687,26,82,49,0,0
1692,26,81,49,0,0
1697,26,82,48,0,0
1702,26,82,49,0,0
1707,26,82,48,0,0
1712,26,82,49,0,0
1717,26,82,48,0,0
1722,26,82,47,0,0
1727,26,82,49,0,0
1732,26,82,48,0,0
1737,26,82,48,0,0
1742,26,82,49,0,0
1747,26,82,49,0,0
1752,26,82,49,0,0
1757,26,82,48,0,0
1762,26,82,48,0,0
1767,26,82,48,0,0
1772,26,82,48,0,0
1777,26,82,47,0,0
1782,27,81,47,0,0
1787,26,82,49,0,0
1792,26,82,49,0,0
1797,26,82,49,0,0
1802,26,82,49,0,0
1807,26,82,48,0,0
1812,26,82,49,0,0
1817,26,82,48,0,0
1822,26,82,49,0,0
1827,26,82,49,0,0
1832,26,82,49,0,0
1837,26,82,48,0,0
1842,26,82,49,0,0
1847,26,82,50,0,0
1852,26,82,49,0,0
1857,26,82,48,0,0
1862,26,82,48,0,0
1867,26,82,49,0,0
1872,26,82,49,0,0
1877,26,82,49,0,0
1882,26,82,48,0,0
1887,26,82,49,0,0
1892,26,82,49,0,0
1897,26,82,49,0,0
1902,26,82,49,0,0
1907,26,82,49,0,0
1912,26,82,49,0,0
1917,26,82,49,0,0
1922,26,82,50,0,0
1927,26,82,48,0,0
1932,26,82,47,0,0
1937,26,82,49,0,0
1942,26,82,49,0,0
1947,26,82,50,0,0
1952,26,82,50,0,0
1957,26,82,50,0,0
1962,26,82,49,0,0
1967,26,82,49,0,0
1972,26,82,47,0,0
1977,26,82,48,0,0
1982,27,81,49,0,0
1987,26,82,48,0,0
1992,26,82,48,0,0
1997,26,82,48,0,0
2002,26,82,48,0,0
2007,26,82,48,0,0
2012,26,82,47,0,0
2017,26,82,47,0,0
2022,26,82,49,0,0
2027,26,82,49,0,0
2032,26,82,49,0,0
2037,26,82,49,0,0
2042,26,82,49,0,0
2047,26,82,49,0,0
2052,26,82,49,0,0
2057,26,81,48,0,0
2062,26,82,47,0,0
2067,26,82,48,0,0
2072,26,82,48,0,0
2077,26,82,49,0,0
2082,26,81,48,0,0
2087,26,81,48,0,0
2092,26,81,48,0,0
2097,26,81,48,0,0
2102,26,81,49,0,0
2107,26,81,50,0,0
2112,26,81,48,0,0
2117,26,81,47,0,0
2122,26,81,48,0,0
2127,26,81,49,0,0
2132,26,81,50,0,0
2137,26,81,50,0,0
2142,26,81,49,0,0
2147,26,81,48,0,0
2152,26,81,48,0,0
2157,26,81,47,0,0
2162,26,81,49,0,0
2167,26,81,50,0,0
2172,26,81,48,0,0
2177,26,81,48,0,0
2182,26,81,47,0,0
2187,26,81,47,0,0
2192,26,81,48,0,0
2197,26,81,48,0,0
2202,26,81,47,0,0
2207,26,81,48,0,0
2212,26,81,48,0,0
2217,26,81,49,0,0
2222,26,82,49,0,0
2227,26,81,49,0,0
2232,26,81,49,0,0
